ica,ingrediente,marca,empresa,concentracion,formulacion,origen
17-08-2004 /1710,GLIFOSATO,GLYFOAICA SL,AGROSER  S.A,480 g/L,SL,VENEZUELA
30-07-2004/ 1581,GLIFOSATO,GRANTIK SL,AGROSER  S.A,480 g/L,SL,"VENEZUELA, CHINA"
16-05-2005 / 1416,GLIFOSATO,GLIFOSATO AGROGEN 747 SG,NUFARM COLOMBIA S.A,747 g/kg,SG,CHINA
08-10-2004 / 2115,GLIFOSATO,GLIFOGEN 648 SL,NUFARM COLOMBIA S.A,648 g/L,SL,COLOMBIA
21-12-2004 / 3265,GLIFOSATO,BROKER 480 SL,TRUST QUIMICA S.A.S,480 g/L,SL,CHINA
15-06-2005 / 1757,GLIFOSATO,ESTELAR™ 648 SL,DOW AGROSCIENCES DE COLOMBIA S.A,648 g/L,SL,COLOMBIA
14-07-2005 / 2081,"GLIFOSATO + 2,4-D AMINA",FAITER SL,AGROSER  S.A,120 -160 g/L,SL,VENEZUELA
30-11-2005 / 3485,GLIFOSATO,TOUCHDOWN® IQ SL,SYNGENTA S.A,500 g/L,SL,"COLOMBIA, BELGICA"
14-09-2005 / 2720,GLIFOSATO,GLIFOGEN 480 SL,NUFARM COLOMBIA S.A,480 g/L,SL,CHINA
17-11-2005 / 3296,GLIFOSATO,GLIFOSATO VECOL 480 SL,VECOL S.A,356 g/L,SL,REPUBLICA POPULAR DE CHINA
12-01-2007 / 0023,GLIFOSATO,ROUNDUP  TRANSORB BRIO,"COMPAÑÍA AGRICOLA
S.A.S COACOL",540 g/l como àcido- 662 g/l como sal,SL,"MEXICO, COLOMBIA"
12-01-2007 / 0022,GLIFOSATO,ROUNDUP  TRANSORB ACTIVO,COMPAÑÍA AGRICOLA COLOMBIANA LTDA Y CIA S.C.A,480 g/L,SL,MEXICO COLOMBIA
04-06-2007 / 1363,GLIFOSATO,GEOX 480 SL,PHYTOCARE  S.A.S,480 g/L,SL,CHINA
19-07-2007 / 1989,GLIFOSATO,FOSSEL® 480 SL,TECNOQUIMICAS  S.A,480 g/L,SL,COLOMBIA CHINA
19-07-2007 / 1943,GLIFOSATO,PANZER 648 SL,INVESA  S.A,480 g/L,SL,COLOMBIA
07-12-2007 / 3331,GLIFOSATO,CUSPIDE 480 SL,TALANU CHEMICAL LTDA,480 g/L,SL,CHINA
06-02-2008 / 0287,GLIFOSATO,GLYFOSAN 648 SL,AGROSER  S.A,648 g/L,SL,VENEZUELA
18-02-2008 / 0487,GLIFOSATO,CORTADOR® 480 SL,POINT DE COLOMBIA S.A.S,480 g/L,SL,CHINA
27-02-2008 / 0593,GLIFOSATO,GLYPHONEX® 480 SL,HELM ANDINA LTDA,360 g/L,SL,CHINA
07-05-2008  /1323,GLIFOSATO,GLYFOS 486 SL,FMC COLOMBIA S.A.S,360 g/L,SL,DINAMARCA CHINA
18-07-2008  / 2423,GLIFOSATO,ROUNDUP ACTIVO,COMPAÑÍA AGRICOLA COLOMBIANA LTDA Y CIA S.C.A,363 g/L,SL,COLOMBIA ARGENTINA
19-08-2008 / 2863,GLIFOSATO,GLYFOS 607 SL,FMC COLOMBIA S.A.S,450 g/L,SL,DINAMARCA CHINA
20-08-2008 / 2872,GLIFOSATO,GLYFOS® 768 SG,CHEMINOVA AGRO DE COLOMBIA S.A,737.5 g/Kg,SG,"DINAMARCA,ITA LIA, CHINA"
25-02-2009 / 0697,GLIFOSATO,GLIFOGEN 747 SG,NUFARM COLOMBIA S.A,680 g/kg,SG,CHINA
13-01-2009 / 0052,GLIFOSATO,KALACH 480 SL,ARYSTA LIFESCIENCE COLOMBIA S.A.S,480 g/L Equivalente a 356 g/L en forma de sal,SL,CHINA COLOMBIA
06-02-2009 / 0382,GLIFOSATO,DOGO 480 SL-DVA,DVA DE COLOMBIA LTDA,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
27-01-2009 / 0224,GLIFOSATO,CLEAROUT 480 SL,DEWRENEW INTERNATIONAL CORPORATION S.A.S.,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
06-02-2009 / 0380,GLIFOSATO,GLIFOSATO WOHL 480 SL,WOHL LTDA  C.I,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
28-09-2009 / 3657,GLIFOSATO,RAZOR 480 SL,IMCOLVET LTDA,356g/lt equivalente a 480 g/lt en forma de sal,SL,ECUADOR
02-09-2009 / 3271,GLIFOSATO,KEMADOR 480 SL,GENFAR S.A.,356 g/l equivalente a 480g/l en forma de sal,SL,CHINA COLOMBIA
25-09-2009 / 3629,GLIFOSATO,SHYFO 480 SL,SHARDA COLOMBIA S.A.S,365g/L equivalente a 480g/L en forma de sal,SL,INDIA
13-11-2009 / 4279,GLIFOSATO,GLIFOCIDA 480 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,355 g/lL equivalente a 480g/lt en forma de sal,SL,COLOMBIA
07-01-2010 / 0014,GLIFOSATO,ROKO 480 SL,C.I BANACOL S.A,480 g/L,SL,CHINA
18-12-2009 / 5123,GLIFOSATO,ATILA 747 SG,NUFARM COLOMBIA S.A,680 g/kg equivalente a 747g/l en forma de sal,SG,CHINA
25-01-2010 / 0356,GLIFOSATO,GLIFOSATO INPRO SL,INPROARROZ LTDA,"355,6 g/L
80 g/L",SL,CHINA
09-06-2010 / 1961,GLIFOSATO,ATILA 480 SL,NUFARM COLOMBIA S.A,360 g/L,SL,COLOMBIA
30-08-2010 / 2877,GLIFOSATO,GLIFOSELL 480 SL,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,480 g/L,SL,CHINA
06-12-2010 / 4034,GLIFOSATO + OXYFLUORFEN,ZOOMER®390 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,"360 g/L
30 g/L",SC,ISRAEL COLOMBIA
03-12-2010 / 4003,GLIFOSATO,GLIFOMAX 480 SL,AGRODIA S.A,355.6 g/L,SL,CHINA
06-04-2011 /1594,"GLIFOSATO SAL
54    AMONIO",PANZER®747 WG,INVESA S.A,747 g/kg,WG,CHINA
12-07-2011 / 2929,GLIFOSATO,CREDIT® 747 SG,NUFARM COLOMBIA S.A,680 g/Kg,SG,CHINA
03-05-2011 / 1869,GLIFOSATO,GLIFOSATO YASER 480 SL,YASER S.A.S,480 g/L,SL,CHINA
12-07-2012 / 2079,GLIFOSATO,GLIFOSATO SHARDA 480 SL,SHARDA COLOMBIA S.A,481.5 g/L,SL,INDIA
13-09-2011 / 3592,GLIFOSATO ACIDO,GLIFOXIL 48 SL,AYAZAK S.A.S,360 g/L,SL,CHINA
13-09-2011 / 3590,GLIFOSATO,ESKOBA AMONIO SL,"RED SURCOS COLOMBIA
LTDA",400 g/L,SL,ARGENTINA
18-01-2012 / 049,GLIFOSATO,ESKOBA® SL,RED SURCOS COLOMBIA LTDA,356 g/L,SL,ARGENTINA
05-03-2012 / 564,GLIFOSATO SAL ISOPROPILAMINA,GLIFOSOL®GREEN,ARYSTA LIFESCIENCES COLOMBIA S.A.S,480 g/L,SL,"CHINA
,COLOMBIA"
16-03-2012 / 640,GLIFOSATO,KALACH®GREEN,ARYSTA LIFESCIENCE COLOMBIA S.A.S,356 g/L,SL,"CHINA
,COLOMBIA"
31-05-2012/ 1624,GLIFOSATO,BROKER 747 SG,TRUST QUIMICA S.A.S.,747g/Kg,SG,CHINA
06-07-2012 / 1991,GLIFOSATO ISOPROPILAMINA,GLIFOCAFE®GREEN,ARYSTA LIFESCIENCE COLOMBIA S.A.S,480 g/L,SL,CHINA
21-09-2012 / 3261,GLIFOSATO,VICTORIUS 48 SL,SODIAK S.A,480 g/L,SL,CHINA
24-12-2012 / 5772,GLIFOSATO,ESTELAR™ 1280 SL,DOW AGROSCIENCES DE COLOMBIA S.A.S,608 g/L,SL,COLOMBIA
22-10-2013/ 4354,GLIFOSATO,GLYFOSAN FORTE SL,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",648 g/L,SL,VENEZUELA
10-12-2013/ 5144,GLIFOSATO,GLIFOSATO 480 SL AGRIMOR,JEBSEN & JESSEN COLOMBIA S.A.S,355.6 g/L,SL,CHINA
04-03-2015/ 682,GLIFOSATO,GLIFOSATO RAINBOW 480 SL,RAINBOW AGROSCIENCES S.A.S,356 g/L,SL,CHINA
10-03-2015/ 725,GLIFOSATO,GLIFOSATO CRL 480 SL,BBB,482 g/L,SL,CHINA
18-03-2015/ 807,GLIFOSATO,GLIFOSATO RAINBOW®747 SG,RAINBOW AGROSCIENCES S.A.S,680 g/Kg,SG,CHINA
17-09-2015/ 3289,GLIFOSATO,"GLIFOSATO DEL MONTE
®480 SL",DEL MONTE AGROSCIENCES S.A.S,480 g/L,SL,CHINA
14-10-2015/ 3659,GLIFOSATO,CREDIT MULTI®,NUFARM COLOMBIA S.A,540 g/L,SL,BRASIL
20-10-2015/ 3754,GLIFOSATO,"ARRASADOR INTEROC
CUSTER","INTEROC S.A SUCURSAL
COLOMBIA",757 g/Kg,SG,"ECUADOR
CHINA"
20-11-2015/ 638,GLIFOSATO,GLIFOSATO 480 SL MEZFER,MEZFER DE COLOMBIA LTDA,480 g/L,SL,CHINA
14-12-2015/ 2582,GLIFOSATO,GLIFOSATO DEL MONTE® 747 SG,DEL MONTE AGROSCIENCES S.A.S,747 g/L,SG,CHINA
