ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
0,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,,0,0,NO ESPECIFICADO
1,METSUFURON METIL,ROSOLFURON 600 WG,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,600 g/kg,WG,CHINA COLOMBIA
2,BENOMIL,ZELLUS ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,500 g/kg,WP,"FRANCIA, CHINA, INDIA"
3,MANCOZEB,MANCOL  430 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,430 g/L,SC,"FRANCIA, CHINA"
4,CARBENDAZIM,CARBENCAL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,500 g/L,SC,FRANCIA
5,PROPICONAZOL,PROPICAL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,250 g/L,EC,"CHINA, INDIA"
6,IMIDACLOPRID,ROTAPRID 35 SC,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,350.0 g/L,SC,CHINA
7,METHOMYL,KUIK  40 SP,ROTAM AGRO COLOMBIA S.A.S.,,400 g/kg,SP,CHINA
8,ABAMECTINA,AVOID 1.8% EC,TECNOQUIMICAS  S.A,,1.80%,EC,CHINA
9,BISPYRIBAC SODIUM,SAAT BALLET 100 SC,SAAT ANDINA S.A.,,100 g/L,SC,CHINA
10,PARAQUAT,CALLIQUAT  ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,200 g/L,SL,"CHINA, FRANCIA, COLOMBIA, INDIA"
11,"PROPANIL +
,TRICLOPYR",CALRIZ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"380 ,40 g/L",EC,FRANCIA CHINA INDIA COLOMBIA
12,METSULFURON METIL,KALLAD 60 WG,SAAT ANDINA S.A.,,60%,WG,CHINA
13,IMIDACLOPRID,SAAT FANDANGO 350 SC,SAAT ANDINA S.A.,,350 g/L,SC,CHINA
14,CYPERMETRINA,CIPEREX ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,200 g/L,EC,"INDIA, CHINA, FRANCIA, COLOMBIA"
15,CARBOFURAN,CARBOFURAN 330 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.,,330 g/L,SC,NOGUERES FRANCIA
16,CARBOFURAN,CARBOFURAN 3 GR COLJAP,COLJAP INDUSTRIA AGROQUIMICA S.A,,3%,GR,FRANCIA
17,ABAMECTINA,ABAMECAL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,18 g/L,EC,"INDIA, CHINA"
18,PROFENOFOS,PROFENOCRON,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,600 g/L,EC,"CHINA, FRANCIA"
19,PENDIMETHALINA,SELLOCOL,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,330 g/L,EC,"FRANCIA, INDIA, CHINA"
20,"FENAMIDONE,
/MANCOZEB",SECTIN WP,BAYER CROPSCIENCE S.A,,"100 g/kg,
500 g/Km",WP,COLOMBIA
21,METSULFURON METIL,METSUL 50 WP,ANASAC COLOMBIA LTDA,,500%,WP,"CHILE, CHINA"
22,OXADIAZON,PREMAX 25 EC,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,250 g/L,EC,CHINA
23,OXADIAZON,ROMAX 38 SC,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,380 g/L,SC,CHINA
24,TEBUCONAZOLE,ATLAS 25 EW,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,EW,BRASIL COLOMBIA
25,PROPANIL + TRICLOPYR,ATALAR EC,PROFICOL S.A,,380 g/L,EC,
26,ABAMECTINA,ABASAC 1.8 EC,ANASAC COLOMBIA LTDA,,18 g/L,EC,"CHILE, CHINA"
27,SULFATO DE COBRE PENTAHIDRATADO + TIOSULFATO SULFATO DE SODIO,BANATOKA,PRODUMIX LTDA,,43.2 / 251.12 g/L,SL,COLOMBIA
28,METALDEHIDO,METAREX GR,UNDAGRO S.A.S,,50 g/Kg,GR,FRANCIA
29,"MANCOZEB
+ CYMOXANIL",CYMOZEB,TECNOQUIMICAS  S.A,,"640%
80%",WP,"CHINA, INDIA"
30,PROPINEB,FORMAT 200 SC,QUIMICOS OMA S.A,,200 g/L,SC,COLOMBIA
31,DIURON,K-DIURON 500 SC,AGROSER  S.A,,500 g/K,SC,VENEZUELA
32,GLIFOSATO,GLYFOAICA SL,AGROSER  S.A,,480 g/L,SL,VENEZUELA
33,TRICYCLAZOL,BREST 75 WP,TECNOQUIMICAS  S.A,,75%,WP,CHINA
34,PARAQUAT DICLORURO,ACTINIC 200 SL,TECNOQUIMICAS  S.A,,200 g/L,SL,"CHINA, COLOMBI A"
35,CIPERMETRINA,CITREX 25 EC,AGROSER  S.A,,250 g/L,EC,VENEZUELA
36,MANCOZEB + CYMOXANIL,FUNCYZEB,UNDAGRO S.A.,,"70%
6%",WP,ITALIA
37,"ACIDO 2,4-D",DINAXINE 480 SL,AGROSER  S.A,,480 g/L,SL,VENEZUELA
38,"ACIDO 2,4-D",DINAXINE 720 SL,AGROSER  S.A,,720 g/L,SL,VENEZUELA
39,"ACIDO 2,4-D",AGRAMINA 720 SL,AGROSER  S.A,,720 g/L,SL,"VENEZUELA, CHINA"
40,GLIFOSATO,GRANTIK SL,AGROSER  S.A,,480 g/L,SL,"VENEZUELA, CHINA"
41,IMIDACLOPRID,CIGARAL 70  WP,ANASAC COLOMBIA LTDA,,700 g/kg,WP,"CHILE, CHINA"
42,METSULFURON METIL,METSULFURON AGROGEN 60% WP,NUFARM COLOMBIA S.A,,600 g/kg,WP,CHINA
43,GLIFOSATO,GLIFOSATO AGROGEN 747 SG,NUFARM COLOMBIA S.A,,747 g/kg,SG,CHINA
44,CIPERMETRINA,CURTAIL 25 EC,AGROSER  S.A,,250 g/L,EC,VENEZUELA
45,QUINCLORAC,EXOCET 35 SC,ANASAC COLOMBIA LTDA,,35g/100 ml,SC,"CHILE, CHINA"
